agent PreviousPosition:S, CurrentPosition:C --> g = 85730, h = 0, f = 85730, action: ('moveAndDrop', 'C')
448 : moveAndDrop AC
449 : moveAndDrop L
450 : moveAndDrop S
451 : moveAndDrop AD
452 : moveAndDrop S
453 : moveAndDrop Z
454 : moveAndDrop I
455 : moveAndDrop AC
456 : moveAndDrop H
457 : moveAndDrop AD
458 : moveAndDrop AC
459 : moveAndDrop Q
460 : moveAndDrop AC
461 : moveAndDrop V
462 : moveAndDrop L
463 : moveAndDrop S
464 : moveAndDrop C
465 : moveAndDrop E
466 : moveAndDrop S
467 : moveAndDrop C
468 : moveAndDrop O
469 : moveAndDrop AD
470 : moveAndDrop S
471 : moveAndDrop H
472 : moveAndDrop O
473 : moveAndDrop S
474 : moveAndDrop C
475 : moveAndDrop Q
476 : moveAndDrop I
477 : moveAndDrop V
478 : moveAndDrop U
479 : moveAndDrop H
480 : moveAndDrop A
481 : moveAndDrop Q
482 : moveAndDrop C
483 : moveAndDrop U
484 : moveAndDrop H
485 : moveAndDrop I
486 : moveAndDrop O
487 : moveAndDrop H
488 : moveAndDrop Z
489 : moveAndDrop AD
490 : moveAndDrop AC
491 : moveAndDrop AD
492 : moveAndDrop A
493 : moveAndDrop V
494 : moveAndDrop AD
495 : moveAndDrop U
496 : moveAndDrop I
497 : moveAndDrop H
498 : moveAndDrop Z
499 : moveAndDrop E
500 : moveAndDrop A
501 : moveAndDrop AD
502 : moveAndDrop E
503 : moveAndDrop Q
504 : moveAndDrop S
505 : moveAndDrop H
506 : moveAndDrop E
507 : moveAndDrop A
508 : moveAndDrop E
509 : moveAndDrop AC
510 : moveAndDrop H
511 : moveAndDrop C
512 : moveAndDrop H
513 : moveAndDrop AC
514 : moveAndDrop O
515 : moveAndDrop E
516 : moveAndDrop S
517 : moveAndDrop E
518 : moveAndDrop S
519 : moveAndDrop U
520 : moveAndDrop Z
521 : moveAndDrop A
522 : moveAndDrop AD
523 : moveAndDrop AC
524 : moveAndDrop I
525 : moveAndDrop H
526 : moveAndDrop A
527 : moveAndDrop H
528 : moveAndDrop S
529 : moveAndDrop C
530 : moveAndDrop Q
531 : moveAndDrop U
532 : moveAndDrop S
533 : moveAndDrop E
534 : moveAndDrop H
535 : moveAndDrop A
536 : moveAndDrop V
537 : moveAndDrop L
538 : moveAndDrop E
539 : moveAndDrop O
540 : moveAndDrop C
541 : moveAndDrop U
542 : moveAndDrop E
543 : moveAndDrop L
544 : moveAndDrop U
545 : moveAndDrop Q
546 : moveAndDrop L
547 : moveAndDrop A
548 : moveAndDrop AD
549 : moveAndDrop I
550 : moveAndDrop U
551 : moveAndDrop L
552 : moveAndDrop E
553 : moveAndDrop Z
554 : moveAndDrop H
555 : moveAndDrop Z
556 : moveAndDrop Q
557 : moveAndDrop U
558 : take 1005
559 : moveAndDrop I
560 : moveAndDrop V
561 : moveAndDrop AC
562 : moveAndDrop Z
563 : moveAndDrop S
564 : moveAndDrop AD
565 : moveAndDrop I
566 : moveAndDrop U
567 : moveAndDrop S
568 : moveAndDrop A
569 : moveAndDrop H
570 : moveAndDrop AD
571 : moveAndDrop Z
572 : moveAndDrop AD
573 : moveAndDrop Z
574 : moveAndDrop O
575 : moveAndDrop AD
576 : moveAndDrop O
577 : moveAndDrop S
578 : moveAndDrop O
579 : moveAndDrop C
580 : moveAndDrop U
581 : moveAndDrop Q
582 : moveAndDrop AC
583 : moveAndDrop A
584 : moveAndDrop H
585 : take 1023
586 : moveAndDrop L
587 : moveAndDrop S
588 : moveAndDrop C
589 : moveAndDrop A
590 : moveAndDrop I
591 : moveAndDrop U
592 : moveAndDrop O
593 : moveAndDrop L
594 : moveAndDrop Z
595 : moveAndDrop U
596 : moveAndDrop O
597 : moveAndDrop I
598 : moveAndDrop Q
599 : moveAndDrop A
600 : moveAndDrop AC
601 : moveAndDrop I
602 : moveAndDrop U
603 : moveAndDrop H
604 : moveAndDrop Q
605 : moveAndDrop Z
606 : moveAndDrop C
607 : moveAndDrop E
608 : moveAndDrop V
609 : moveAndDrop A
610 : moveAndDrop U
611 : moveAndDrop O
612 : moveAndDrop E
613 : moveAndDrop H
614 : take 1022
615 : take 1002
616 : moveAndDrop E
617 : moveAndDrop S
618 : moveAndDrop C
WASTED ENERGY: 85730
